x,y,cluster
53.2003,2.97982,1
68.2009,31.1811,1
94.1761,85.742,2
49.8444,98.3488,0
55.618,83.6963,0
36.0977,70.0049,0
84.0324,68.7264,2
56.6054,44.0492,5
25.8335,89.8773,8
37.4912,7.7594,7
89.0635,51.1377,9
93.9952,58.4526,9
57.5389,86.8217,0
95.3025,2.68199,6
39.2314,98.2919,0
50.9619,92.4317,0
1.27171,19.1628,3
23.6129,95.4478,8
4.90482,73.4572,8
93.7966,60.5228,9
57.1535,29.8943,1
30.5278,41.186,4
98.6207,87.1332,2
85.2352,24.4542,6
77.0106,22.7264,6
32.2136,66.0741,4
73.8641,26.2089,6
24.5267,31.403,7
13.0306,19.8292,3
34.085,52.262,4
18.1211,85.0469,8
44.6937,19.3928,7
4.20963,68.3066,8
14.8406,9.11445,3
41.7638,8.63715,7
69.6373,98.9174,2
38.5314,0.16504,7
40.1033,37.1521,7
87.2982,25.3385,6
61.6063,64.3088,5
48.065,93.8199,0
30.3829,21.9291,7
20.0288,54.9095,4
53.332,33.0593,5
74.7387,87.417,2
85.3213,92.8598,2
72.4639,30.015,1
12.2525,76.6735,8
98.3216,27.0931,6
85.788,40.0854,9
35.7302,55.4252,5
39.0028,74.2616,0
55.5903,79.1061,0
11.4137,42.8885,4
4.44463,73.02,8
7.19732,52.5096,4
66.8399,37.5802,5
74.4387,86.8687,2
92.4897,27.7707,6
19.928,67.2284,4
15.1877,5.24934,3
60.0881,87.6516,0
35.2644,72.3407,0
64.3251,33.586,1
99.4338,50.1131,9
73.6714,35.164,9
5.53833,12.6741,3
9.42564,61.1286,4
91.7802,20.8394,6
4.01713,96.2249,8
93.8594,11.2145,6
48.7345,60.6993,5
48.7946,23.1731,7
47.568,41.2843,5
50.9438,67.496,0
8.51272,66.1315,4
72.7454,68.6009,2
53.7831,8.00975,1
40.9415,18.1083,7
41.5957,40.3753,5
68.2214,15.2671,1
75.5393,73.7597,2
27.9412,84.9649,8
34.8883,19.7215,7
5.80427,38.9054,4
15.9463,99.6636,8
50.1199,64.6808,5
60.3629,98.9145,0
87.8539,7.93094,6
40.1988,38.7977,5
75.427,48.7116,9
4.92922,48.1723,4
17.3124,58.7124,4
56.1821,58.2539,5
76.8206,97.7778,2
98.6292,45.042,9
13.0449,74.1685,8
18.8017,40.9861,4
59.1334,53.69,5
60.7076,64.9377,5
92.5954,76.6539,2
64.6013,42.7153,5
41.3347,24.9643,7
41.6298,29.1886,7
32.8952,81.8286,0
67.9863,8.32218,1
30.5402,72.9155,0
56.4945,47.8526,5
31.6279,12.6766,7
6.10657,8.44849,3
10.4544,4.73579,3
53.4905,23.4993,1
78.9043,72.2921,2
64.4855,38.0377,5
25.9821,25.1931,7
2.97541,18.5775,3
1.84705,67.5767,8
61.2927,43.1818,5
92.541,2.92253,6
72.3704,25.4362,1
84.7512,40.3567,9
33.7584,15.2914,7
13.2722,90.2529,8
63.144,44.9,5
2.92955,69.2505,8
53.3485,13.384,1
73.9863,6.83897,1
36.8833,52.8906,5
79.1311,1.36882,6
90.9283,5.11321,6
26.5619,93.9038,8
23.6907,28.409,7
61.4805,84.9834,0
71.5907,54.0215,9
87.906,43.9611,9
79.4577,72.6571,2
84.3177,13.2161,6
87.9485,97.5899,2
3.46907,51.0925,4
42.4899,6.39862,7
20.343,95.8384,8
19.7826,94.3294,8
2.6774,56.6659,4
47.22,81.8085,0
58.0348,38.1483,5
86.9217,84.5967,2
32.0521,10.6124,7
13.0056,93.5326,8
95.5958,84.5964,2
47.5541,83.5018,0
28.5575,27.0118,7
56.1589,12.8752,1
40.228,44.1074,5
10.4651,43.697,4
95.1999,52.955,9
50.0956,15.5429,1
48.7935,69.8783,0
9.8723,51.4709,4
26.5442,57.0923,4
33.2794,84.5789,0
95.2406,20.2011,6
69.1756,27.2927,1
30.8135,82.1813,0
20.8253,26.4094,3
66.7776,68.3794,2
9.91118,95.3351,8
95.3912,66.0701,9
8.21033,35.6192,4
10.1776,18.6755,3
79.3162,5.37749,6
71.6305,29.4118,1
20.9204,20.424,3
99.2901,30.7927,6
71.8949,25.8343,1
87.885,5.17424,6
10.4132,83.1257,8
25.3754,79.5889,8
10.4184,56.1889,4
61.7701,31.2437,1
82.5982,28.5478,6
99.6231,92.5094,2
23.8829,95.0143,8
58.5796,32.0932,1
30.6334,68.7571,0
50.7686,9.94965,1
74.1346,22.3991,6
39.3615,95.055,0
42.8231,38.6516,5
25.8478,14.718,7
64.4859,13.7328,1
19.8922,74.8991,8
96.8585,45.2676,9
54.488,7.27686,1
1.45644,16.2581,3
38.5205,84.0547,0
44.8059,38.1436,5
76.5641,68.6887,2
33.1579,35.1436,7
0.78192,63.7913,4
3.90077,51.5506,4
73.741,78.0354,2
73.9497,13.1025,1
73.0904,16.7728,1
